2026-01-09 10:03:30,127 - INFO - Gradient Accumulation Steps: 1
2026-01-09 10:03:30,127 - INFO - Micro Batch Size: 16
2026-01-09 10:03:30,128 - INFO - Target Train Batch Size (per GPU): 16
2026-01-09 10:03:30,143 - INFO - epoch:0 start
2026-01-09 10:33:46,774 - INFO - train loss:4.9903, step:2280
2026-01-09 10:33:54,019 - INFO - train loss:4.9736, step:2290
2026-01-09 10:34:01,262 - INFO - train loss:4.9375, step:2300
2026-01-09 10:34:08,501 - INFO - train loss:4.9643, step:2310
2026-01-09 10:34:15,758 - INFO - train loss:5.0059, step:2320
2026-01-09 10:34:23,001 - INFO - train loss:4.9869, step:2330
2026-01-09 10:34:30,260 - INFO - train loss:4.9211, step:2340
2026-01-09 10:34:37,531 - INFO - train loss:5.0645, step:2350
2026-01-09 10:34:44,809 - INFO - train loss:4.9451, step:2360
2026-01-09 10:34:52,088 - INFO - train loss:4.9035, step:2370
2026-01-09 10:34:59,379 - INFO - train loss:4.9442, step:2380
2026-01-09 10:35:06,671 - INFO - train loss:4.9374, step:2390
2026-01-09 10:35:13,956 - INFO - train loss:4.9072, step:2400
2026-01-09 10:35:21,232 - INFO - train loss:4.9263, step:2410
2026-01-09 10:37:07,271 - INFO - Gradient Accumulation Steps: 1
2026-01-09 10:37:07,272 - INFO - Micro Batch Size: 16
2026-01-09 10:37:07,273 - INFO - Target Train Batch Size (per GPU): 16
2026-01-09 10:37:07,273 - INFO - Resuming training from /home/u-longyy/data/mini_model/checkpoints/epoch_0_step_2000_checkpoint.pth
2026-01-09 10:37:11,739 - INFO - Successfully resumed. Start Epoch: 0, Step: 2000
2026-01-09 10:37:11,754 - INFO - epoch:0 start
2026-01-09 10:37:17,960 - INFO - train loss:5.0703, step:2000
2026-01-09 10:37:35,222 - INFO - train loss:5.1154, step:2010
2026-01-09 10:37:42,431 - INFO - train loss:4.9957, step:2020
2026-01-09 10:37:49,645 - INFO - train loss:5.0989, step:2030
2026-01-09 10:37:56,875 - INFO - train loss:4.9024, step:2040
2026-01-09 10:38:04,110 - INFO - train loss:5.0001, step:2050
2026-01-09 10:38:11,346 - INFO - train loss:4.9958, step:2060
2026-01-09 10:38:18,596 - INFO - train loss:5.0002, step:2070
2026-01-09 10:38:25,847 - INFO - train loss:4.9399, step:2080
2026-01-09 10:38:33,107 - INFO - train loss:4.9727, step:2090
2026-01-09 10:38:40,384 - INFO - train loss:4.9092, step:2100
2026-01-09 10:38:47,669 - INFO - train loss:4.9864, step:2110
2026-01-09 10:38:54,959 - INFO - train loss:4.9019, step:2120
2026-01-09 10:39:02,248 - INFO - train loss:4.8803, step:2130
2026-01-09 10:39:09,543 - INFO - train loss:4.9053, step:2140
2026-01-09 10:39:16,850 - INFO - train loss:4.9909, step:2150
2026-01-09 10:39:24,158 - INFO - train loss:4.9109, step:2160
2026-01-09 10:39:31,470 - INFO - train loss:4.8623, step:2170
2026-01-09 10:39:38,785 - INFO - train loss:4.9264, step:2180
2026-01-09 10:39:46,073 - INFO - train loss:4.8813, step:2190
2026-01-09 10:39:53,366 - INFO - train loss:4.8883, step:2200
2026-01-09 10:40:00,674 - INFO - train loss:4.8872, step:2210
2026-01-09 10:40:07,991 - INFO - train loss:4.7272, step:2220
2026-01-09 10:40:15,308 - INFO - train loss:4.8918, step:2230
2026-01-09 10:40:22,625 - INFO - train loss:4.8207, step:2240
2026-01-09 10:40:29,948 - INFO - train loss:4.8425, step:2250
2026-01-09 10:40:37,262 - INFO - train loss:4.8563, step:2260
2026-01-09 10:40:44,587 - INFO - train loss:4.8446, step:2270
2026-01-09 10:40:51,917 - INFO - train loss:4.8446, step:2280
2026-01-09 10:40:59,245 - INFO - train loss:4.7361, step:2290
2026-01-09 10:41:06,547 - INFO - train loss:4.7878, step:2300
2026-01-09 10:41:13,855 - INFO - train loss:4.6854, step:2310
2026-01-09 10:41:21,148 - INFO - train loss:4.8283, step:2320
2026-01-09 10:41:28,445 - INFO - train loss:4.7576, step:2330
2026-01-09 10:41:35,737 - INFO - train loss:4.7240, step:2340
2026-01-09 10:41:43,034 - INFO - train loss:4.8831, step:2350
2026-01-09 10:41:50,292 - INFO - train loss:4.7966, step:2360
2026-01-09 10:41:57,540 - INFO - train loss:4.7389, step:2370
2026-01-09 10:42:04,789 - INFO - train loss:4.7472, step:2380
2026-01-09 10:42:12,047 - INFO - train loss:4.8671, step:2390
2026-01-09 10:42:19,293 - INFO - train loss:4.7282, step:2400
2026-01-09 10:42:26,529 - INFO - train loss:4.7369, step:2410
2026-01-09 10:42:33,771 - INFO - train loss:4.7823, step:2420
2026-01-09 10:42:41,019 - INFO - train loss:4.7027, step:2430
2026-01-09 10:42:48,275 - INFO - train loss:4.8313, step:2440
2026-01-09 10:42:55,527 - INFO - train loss:4.7787, step:2450
2026-01-09 10:43:02,789 - INFO - train loss:4.7010, step:2460
2026-01-09 10:43:10,053 - INFO - train loss:4.8579, step:2470
2026-01-09 10:43:17,330 - INFO - train loss:4.7144, step:2480
2026-01-09 10:43:24,620 - INFO - train loss:4.6729, step:2490
2026-01-09 10:44:07,678 - INFO - step:2500, val_loss: 4.7253
2026-01-09 10:44:08,454 - INFO - train loss:4.6351, step:2500
2026-01-09 10:44:15,663 - INFO - train loss:4.7763, step:2510
2026-01-09 10:44:22,850 - INFO - train loss:4.6273, step:2520
2026-01-09 10:44:30,029 - INFO - train loss:4.6241, step:2530
2026-01-09 10:44:37,194 - INFO - train loss:4.6584, step:2540
2026-01-09 10:44:44,364 - INFO - train loss:4.8371, step:2550
2026-01-09 10:44:51,526 - INFO - train loss:4.7791, step:2560
2026-01-09 10:44:58,677 - INFO - train loss:4.6914, step:2570
2026-01-09 10:45:05,833 - INFO - train loss:4.5695, step:2580
2026-01-09 10:45:12,986 - INFO - train loss:4.5887, step:2590
2026-01-09 10:45:20,137 - INFO - train loss:4.6680, step:2600
2026-01-09 10:45:27,288 - INFO - train loss:4.6784, step:2610
2026-01-09 10:45:34,453 - INFO - train loss:4.6786, step:2620
2026-01-09 10:45:41,601 - INFO - train loss:4.7795, step:2630
2026-01-09 10:45:48,754 - INFO - train loss:4.6521, step:2640
2026-01-09 10:45:55,912 - INFO - train loss:4.6704, step:2650
2026-01-09 10:46:03,076 - INFO - train loss:4.6062, step:2660
2026-01-09 10:46:10,229 - INFO - train loss:4.6211, step:2670
2026-01-09 10:46:17,391 - INFO - train loss:4.6266, step:2680
2026-01-09 10:46:24,554 - INFO - train loss:4.6382, step:2690
2026-01-09 10:46:31,727 - INFO - train loss:4.6285, step:2700
2026-01-09 10:46:38,897 - INFO - train loss:4.6418, step:2710
2026-01-09 10:46:46,070 - INFO - train loss:4.8359, step:2720
2026-01-09 10:46:53,246 - INFO - train loss:4.6341, step:2730
2026-01-09 10:47:00,439 - INFO - train loss:4.6859, step:2740
2026-01-09 10:47:07,628 - INFO - train loss:4.4819, step:2750
2026-01-09 10:47:14,821 - INFO - train loss:4.5729, step:2760
2026-01-09 10:47:22,020 - INFO - train loss:4.5784, step:2770
2026-01-09 10:47:29,237 - INFO - train loss:4.6185, step:2780
2026-01-09 10:47:36,465 - INFO - train loss:4.5891, step:2790
2026-01-09 10:47:43,691 - INFO - train loss:4.4333, step:2800
2026-01-09 10:47:50,927 - INFO - train loss:4.5449, step:2810
2026-01-09 10:47:58,173 - INFO - train loss:4.5312, step:2820
2026-01-09 10:48:05,426 - INFO - train loss:4.5810, step:2830
2026-01-09 10:48:12,681 - INFO - train loss:4.5317, step:2840
2026-01-09 10:48:19,935 - INFO - train loss:4.7439, step:2850
